Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms)
2020-01-14,80,1703.4277127199596,4494.25378704071,33.0,33,,,,,0.7587755006939091,1.8510924577713013,0.2510583996772766,6788,,,,,74278709,3681886,,
2020-01-15,143,1938.7883517964513,8948.037411093712,69.0,69,,,,,0.8119999759697514,1.8988840579986572,0.2510583996772766,13270,,,,,69570752,8015186,,
2020-01-16,93,1630.9858036082437,4862.588006079197,25.0,24,,,,,0.7931090210038523,1.8490580320358276,0.2459326684474945,7493,,,,,76494169,2949249,,
2020-01-17,92,1735.1587220328715,5128.245056688786,34.0,34,,,,,1.1897121743318921,21.551483154296875,0.2510583996772766,7987,,,,,71715883,4737006,,
2020-01-18,133,1921.1865752019298,5216.350450873375,91.0,85,,,,,0.604779947072298,2.8135015964508057,0.25019094347953796,7788,,,,3075090,75797169,3883626,,
2020-01-19,136,1882.5765773120456,7157.439862310886,41.0,41,,,,,0.8286244042848848,1.749197006225586,0.2510583996772766,10977,,,,,75670887,6649173,,
2020-01-20,165,1561.384706448184,6670.15211635828,16.0,16,,,,,0.7874654143331028,11.211604118347168,0.24537323415279388,10884,,,,,68425375,3649522,,
2020-01-21,93,1759.6213831434022,5153.152794063091,34.0,30,,,,,0.5889277368498537,1.7268298864364624,0.24631109833717346,7757,,,,,74820897,5250445,,
2020-01-22,36,1832.2618042460144,2084.330114364624,13.0,13,,,,,1.046823105824204,1.6224802732467651,0.29552343487739563,3137,,,,,75744476,4681366,185069,
2020-01-23,82,1732.7348042703015,2421.23768556118,42.0,42,,,,,0.7465604054267374,3.0523641109466553,0.24067561328411102,3906,,,,2122605,78593336,1347881,,
2020-01-24,100,1837.6441703573826,5161.1932807564735,53.0,52,,,,,1.0506850844559472,1.7448140382766724,0.26442790031433105,7868,,,,809994,75241394,4793601,,
2020-01-25,61,1671.1602473017326,3267.090182363987,34.0,33,,,,,0.6620810682815165,1.8228176832199097,0.2510583996772766,5078,,,,621000,80156091,1973061,,
2020-01-26,151,1702.655343762065,8668.525942206383,63.0,63,,,,,0.6276801345765594,1.5401670932769775,0.2719799280166626,13267,,,,,57542305,7179170,,
2020-01-27,219,2216.1890307079952,11266.41149353981,68.0,68,,,,,0.7537366782203078,2.248236894607544,0.25589489936828613,17401,,,,,69535004,12420578,,
2020-01-28,201,2118.4312732608055,11195.171687841415,82.0,81,,,,,0.5577643905393269,1.7704060077667236,0.2510583996772766,17138,,,,,66566537,11849484,,
2020-01-29,170,1994.4611341493155,9575.199464440346,67.0,67,,,,,0.9162000533176037,3.2738914489746094,0.2557935118675232,14698,,,,,70332516,8866720,,
2020-01-30,,560.8170879208565,,,,,,,,,,,,,,,,30971302,,,
2023-02-04,,1670.7500029802322,,,,,,,,,,,,,,,,,,,
2023-02-05,17,1821.1664547747528,2222.873850342196,13.0,9,,,,,0.38102446914780835,7.751056983354267,0.2729450635009769,2110,73.0,73.0,73.0,,,480565,596385,
2023-02-06,249,2299.2353714219066,10413.03915038765,59.0,54,,,,,0.5393764157374015,3.266824728370415,0.26107788682702143,13806,,,,1357799,,9429098,,
2023-02-07,47,1809.9043081335515,1344.6772834126332,27.0,27,,,,,0.4082200419237211,1.6394346470073295,0.2729450635009769,1930,,,,1416431,,894971,,
2023-02-08,340,1847.6835933789694,10746.437853810981,23.0,21,,,,,0.5596429898005223,3.1447656245287905,0.2729450635009769,14801,,,,652925,,2366672,,
2023-02-09,128,2039.0842785961238,5249.434307538437,14.0,14,,,,,0.5080685393402393,1.7244671959864475,0.2729450635009769,7233,,,,,,6381599,,
2023-02-10,214,1984.899955906275,8244.546531594555,23.0,23,,,,,0.5015850067896132,3.2121246016471354,0.2729450635009769,11260,,,,,,5440050,,
2023-02-11,107,1856.3157262659715,4836.733220706812,18.0,17,,,,,0.3749590337828246,2.336021963512223,0.2729450635009769,6620,,,,,,3205881,,
2023-02-12,89,2127.630203957764,7533.223259710947,40.0,21,,,,,0.4763708129311096,7.657085478568483,0.26107788682702143,8189,,,,,,2741194,1247901,
2023-02-13,430,2410.8913215364573,19603.89715416666,73.0,69,,,,,0.5761893371732768,5.637933549731344,0.26107788682702143,26528,,,,,,12408883,169944,
2023-02-14,98,1901.88238585081,5618.269455367175,33.0,31,,,,,0.4241630528670865,3.4759408776713268,0.30854659352284347,7346,,,,,,3979008,,
2023-02-15,350,2270.3587987880614,13263.29222566749,37.0,34,,,,,0.5262058355420586,3.2599320028943173,0.26556186885613864,17970,,,,,,9290119,477451,
2023-02-16,321,2351.603021159278,11091.984683480037,40.0,38,,,,,0.463309859404505,2.6671317553244043,0.320413770196799,15478,,,,1565852,,10120287,,
2023-02-17,163,2021.801564327518,8006.227894375955,29.0,27,,,,,0.43042455327069734,2.9906849973931875,0.320413770196799,10844,,,,,,6082168,,
2023-02-18,103,1897.5690014515428,4244.942746139756,10.0,9,,,,,0.3954354066415656,3.157034366867307,0.2848122401749324,5960,,,,,,3894927,,
2023-02-19,10,1677.1856945122656,507.6778181118171,,,,,,,0.3347703631418121,0.9707761496892803,0.26107788682702143,800,,,,,,111502,,
2023-02-20,157,2460.965882657566,9475.020005272625,110.0,86,,,,,0.5645771870810868,5.053461145651303,0.26107788682702143,10386,,,,2392950,,5127530,1602390,
2023-02-21,93,1912.7375547691925,4496.829254264909,19.0,16,,,,,0.5583217289308016,3.1478826562975586,0.2729450635009769,5960,,,,,,4189550,,
2023-02-22,110,2190.5656670899834,9413.534738789362,69.0,43,,,,,0.540513953270402,3.6229026132207505,0.26107788682702143,10230,,,,,,3956764,1387224,
2023-02-23,134,1972.6855990399422,5659.625055545795,12.0,10,,,,,0.5069893817058418,2.898228174477676,0.2729450635009769,7750,,,,,,5229583,,
2023-02-24,190,2061.7321828249674,8072.501899685163,40.0,38,,,,,0.4569759989152478,3.434074197594669,0.2729450635009769,10988,,,,604286,,6113283,,
2023-02-25,79,1829.1198084619923,3913.8033089975265,15.0,12,,,,,0.42890980353466956,3.1045538498851295,0.2729450635009769,5335,,,,,,2717447,,
2023-02-26,223,2175.3484119681953,11412.443323660387,58.0,51,,,,,0.6708408758480757,2.927558170937063,0.3523693091283092,14985,,,,85696,,8650739,,
